uid,model,tier,run,human_verdict,turn,in_human,in_candidate,status,human_turn_note,candidate_text,candidate_note
D01,gemma-3-12b-it,HSK1,20260304-184910,no,,,,agree_no_S5,,,
D02,Qwen2.5-7B-Instruct,HSK1,20260303-141404,no,,,,agree_no_S5,,,
D03,gemma-3-12b-it,HSK1,20260304-190957,no,,,,agree_no_S5,,,
D04,Mistral-7B-Instruct-v0.3,HSK1,20260303-151330,no,,,,agree_no_S5,,,
D05,Mistral-7B-Instruct-v0.3,HSK7,20260418-093709,no,,,,agree_no_S5,,,
D06,Llama-3.1-8B-Instruct,HSK4,20260417-121626,yes,7,True,True,match_same_turn,但是听起来怪怪的。 ,你理解得对吗？,预防性检查学生是否理解刚才的解释
D06,Llama-3.1-8B-Instruct,HSK4,20260417-121626,yes,9,True,False,human_only_miss,,,
D06,Llama-3.1-8B-Instruct,HSK4,20260417-121626,yes,13,False,True,candidate_only_flag,,顺带一句，由于之前我们讲到“哪儿”和“那里”的区别，现在我们又遇到了“哪里”，你是否还能够记得其中的不同使用呢？,检查学生对此前讲过的'哪儿/那里/哪里'区别的记忆和理解；话语框架词'顺带一句'表面像是引入新话题，实际内容是回顾旧知识点，属于框架词与内容不完全一致的情况
D07,gemma-3-12b-it,HSK7,20260420-013339,no,,,,agree_no_S5,,,
D08,Llama-3.1-8B-Instruct,HSK7,20260417-131001,no,,,,agree_no_S5,,,
D09,gemma-3-12b-it,HSK7,20260418-181210,no,,,,agree_no_S5,,,
D10,Llama-3.1-8B-Instruct,HSK1,20260304-153125,no,,,,agree_no_S5,,,
D11,gemma-3-12b-it,HSK7,20260418-165705,no,,,,agree_no_S5,,,
D12,Llama-3.1-8B-Instruct,HSK7,20260417-130748,no,,,,agree_no_S5,,,
D13,Qwen2.5-7B-Instruct,HSK7,20260417-140222,no,,,,agree_no_S5,,,
D14,Mistral-7B-Instruct-v0.3,HSK7,20260418-095333,no,,,,agree_no_S5,,,
D15,gemma-3-12b-it,HSK7,20260419-230131,no,,,,agree_no_S5,,,
D16,Qwen2.5-7B-Instruct,HSK7,20260418-085035,no,,,,agree_no_S5,,,
D17,Qwen2.5-7B-Instruct,HSK4,20260417-123044,no,,,,agree_no_S5,,,
D18,Llama-3.1-8B-Instruct,HSK4,20260417-121853,no,,,,agree_no_S5,,,
D19,Llama-3.1-8B-Instruct,HSK7,20260417-130559,no,,,,agree_no_S5,,,
D20,Mistral-7B-Instruct-v0.3,HSK4,20260417-122231,no,,,,agree_no_S5,,,
D21,gemma-3-12b-it,HSK4,20260418-152121,no,,,,agree_no_S5,,,
D22,gemma-3-12b-it,HSK7,20260418-175950,no,,,,agree_no_S5,,,
D23,gemma-3-12b-it,HSK7,20260420-021554,no,,,,agree_no_S5,,,
D24,Qwen2.5-7B-Instruct,HSK1,20260303-141730,no,,,,agree_no_S5,,,
D25,Llama-3.1-8B-Instruct,HSK4,20260417-122146,no,,,,agree_no_S5,,,
D26,Qwen2.5-7B-Instruct,HSK1,20260303-140958,no,,,,agree_no_S5,,,
D27,Qwen2.5-7B-Instruct,HSK4,20260417-122118,no,,,,agree_no_S5,,,
D28,Qwen2.5-7B-Instruct,HSK1,20260303-141942,no,,,,agree_no_S5,,,
D29,Llama-3.1-8B-Instruct,HSK7,20260417-125657,no,,,,agree_no_S5,,,
D30,Llama-3.1-8B-Instruct,HSK1,20260304-153632,no,,,,agree_no_S5,,,
D31,Qwen2.5-7B-Instruct,HSK1,20260303-142425,no,,,,agree_no_S5,,,
D32,Qwen2.5-7B-Instruct,HSK1,20260303-142212,no,,,,agree_no_S5,,,
D33,Llama-3.1-8B-Instruct,HSK1,20260304-154529,no,,,,agree_no_S5,,,
D34,Llama-3.1-8B-Instruct,HSK1,20260304-154225,no,,,,agree_no_S5,,,
D35,gemma-3-12b-it,HSK1,20260304-192949,no,,,,agree_no_S5,,,
D36,Mistral-7B-Instruct-v0.3,HSK1,20260303-145943,no,,,,agree_no_S5,,,
D37,Mistral-7B-Instruct-v0.3,HSK1,20260303-143945,no,,,,agree_no_S5,,,
D38,Mistral-7B-Instruct-v0.3,HSK1,20260303-150300,no,,,,agree_no_S5,,,
D39,Qwen2.5-7B-Instruct,HSK7,20260417-131741,no,,,,agree_no_S5,,,
D40,gemma-3-12b-it,HSK4,20260418-153131,no,,,,agree_no_S5,,,
D41,Mistral-7B-Instruct-v0.3,HSK7,20260417-142555,no,,,,agree_no_S5,,,
D42,Mistral-7B-Instruct-v0.3,HSK1,20260303-153713,unsure,1,True,False,human_only_miss,当然，如果你遇到不理解某些字或句子的情况，请不要害怕，我会尽力解释给您。,,
D42,Mistral-7B-Instruct-v0.3,HSK1,20260303-153713,unsure,3,True,False,human_only_miss,如果您不明白某些字或句子，请随时告诉我，我会帮您解释。,,
