finding_id,finding,item_id,model,tier,turn,layer,sub,sub_gloss,text,note
F5,空转:重复与无进展,F5-C01,Qwen2.5-7B-Instruct,HSK1,-1,DLG,,对话级备注,,整体较为工整：反复采用“一问一答换话题”模式（S3浅尝辄止），第15轮出现重复讲述同一故事的原地打转现象，其余互动尚可，无明显语言层面偏误。
F3,不放弃话题控制、不区分主次话题,F3-C01,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次，选择简单、以学生为中心的话题（姓名）
F3,不放弃话题控制、不区分主次话题,F3-C02,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢吃什么食物？,选择贴近学生个人喜好的简单话题
F10,方法学:策略码互不排斥,F10-C01,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢吃什么食物？,选择贴近学生个人喜好的简单话题
F3,不放弃话题控制、不区分主次话题,F3-C03,Qwen2.5-7B-Instruct,HSK1,3,INT,S3,话题简短处理,你喜欢吃什么食物？,上一话题（姓名）仅一问即结束就转入新话题，属浅尝辄止模式的一部分
F10,方法学:策略码互不排斥,F10-C02,Qwen2.5-7B-Instruct,HSK1,3,INT,S3,话题简短处理,你喜欢吃什么食物？,上一话题（姓名）仅一问即结束就转入新话题，属浅尝辄止模式的一部分
F3,不放弃话题控制、不区分主次话题,F3-C04,Qwen2.5-7B-Instruct,HSK1,5,INT,S2,选择显著话题,你喜欢喝什么饮料？,继续选择学生个人喜好类简单话题
F10,方法学:策略码互不排斥,F10-C03,Qwen2.5-7B-Instruct,HSK1,5,INT,S2,选择显著话题,你喜欢喝什么饮料？,继续选择学生个人喜好类简单话题
F3,不放弃话题控制、不区分主次话题,F3-C05,Qwen2.5-7B-Instruct,HSK1,5,INT,S3,话题简短处理,你喜欢喝什么饮料？,上一话题（食物）仅一问即换新话题，浅尝辄止
F10,方法学:策略码互不排斥,F10-C04,Qwen2.5-7B-Instruct,HSK1,5,INT,S3,话题简短处理,你喜欢喝什么饮料？,上一话题（食物）仅一问即换新话题，浅尝辄止
F3,不放弃话题控制、不区分主次话题,F3-C06,Qwen2.5-7B-Instruct,HSK1,7,INT,S2,选择显著话题,你周末通常做什么？,以学生日常生活为话题，简单贴近学生
F10,方法学:策略码互不排斥,F10-C05,Qwen2.5-7B-Instruct,HSK1,7,INT,S2,选择显著话题,你周末通常做什么？,以学生日常生活为话题，简单贴近学生
F3,不放弃话题控制、不区分主次话题,F3-C07,Qwen2.5-7B-Instruct,HSK1,7,INT,S3,话题简短处理,你周末通常做什么？,上一话题（饮料）仅一问即换新话题，浅尝辄止
F10,方法学:策略码互不排斥,F10-C06,Qwen2.5-7B-Instruct,HSK1,7,INT,S3,话题简短处理,你周末通常做什么？,上一话题（饮料）仅一问即换新话题，浅尝辄止
F3,不放弃话题控制、不区分主次话题,F3-C08,Qwen2.5-7B-Instruct,HSK1,9,INT,S2,选择显著话题,你觉得学汉语有趣吗？,以学生对学习本身的感受为话题
F10,方法学:策略码互不排斥,F10-C07,Qwen2.5-7B-Instruct,HSK1,9,INT,S2,选择显著话题,你觉得学汉语有趣吗？,以学生对学习本身的感受为话题
F3,不放弃话题控制、不区分主次话题,F3-C09,Qwen2.5-7B-Instruct,HSK1,9,INT,S3,话题简短处理,你觉得学汉语有趣吗？,上一话题（周末活动）仅一问即换新话题，浅尝辄止
F10,方法学:策略码互不排斥,F10-C08,Qwen2.5-7B-Instruct,HSK1,9,INT,S3,话题简短处理,你觉得学汉语有趣吗？,上一话题（周末活动）仅一问即换新话题，浅尝辄止
F3,不放弃话题控制、不区分主次话题,F3-C10,Qwen2.5-7B-Instruct,HSK1,11,INT,S1,放弃话题控制,你看过这个动画片没有？,紧接学生上一轮主动提出的“汉语故事或动画片”话题继续追问，属于顺着学生话题走的隐式放弃控制
F3,不放弃话题控制、不区分主次话题,F3-C11,Qwen2.5-7B-Instruct,HSK1,13,INT,S4,使新话题显著化,现在,用“现在”标记从老师讲故事到学生复述任务之间的边界
F5,空转:重复与无进展,F5-C02,Qwen2.5-7B-Instruct,HSK1,15,DEV,DIS,话语层面问题,从前有一只小白兔，它很喜欢吃胡萝卜。有一天，小白兔迷路了。它找了好久，最后找到了妈妈。它们很开心地一起回家了。,原地打转/停滞：同一故事文本已在第13轮讲过、学生在第14轮已成功复述，此处第三次原样重复且没有信息推进，也不是由学生困难/未回应/出错触发的，不满足ST5的重复检验
F3,不放弃话题控制、不区分主次话题,F3-C12,Qwen2.5-7B-Instruct,HSK1,17,INT,S4,使新话题显著化,我们再做一个小游戏吧,以“游戏”框定新活动的话题边界
F3,不放弃话题控制、不区分主次话题,F3-C13,Qwen2.5-7B-Instruct,HSK1,17,INT,ST4,分解话题-述题,"1. 小华，你喜欢哪种颜色的衣服？
2. 周末的时候，你会和谁一起玩？
3. 你觉得哪种水果最好吃？",把“回答几个问题”的笼统任务拆解成三个具体的小问题
F5,空转:重复与无进展,F5-C03,Qwen2.5-7B-Instruct,HSK1,-1,DLG,,对话级备注,,第11轮起出现提前结束后反复道别却不真正结束对话的循环（原地打转），第9轮有一处英语词“yummy”混入正文（COD）。
F3,不放弃话题控制、不区分主次话题,F3-C14,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次，选择简单、以学生为中心的话题
F3,不放弃话题控制、不区分主次话题,F3-C15,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢北京吗？,以学生对老师所在城市的感受为简单话题
F10,方法学:策略码互不排斥,F10-C09,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢北京吗？,以学生对老师所在城市的感受为简单话题
F3,不放弃话题控制、不区分主次话题,F3-C16,Qwen2.5-7B-Instruct,HSK1,3,INT,S3,话题简短处理,你喜欢北京吗？,该话题仅一问即在下一轮换成食物话题，浅尝辄止
F10,方法学:策略码互不排斥,F10-C10,Qwen2.5-7B-Instruct,HSK1,3,INT,S3,话题简短处理,你喜欢北京吗？,该话题仅一问即在下一轮换成食物话题，浅尝辄止
F3,不放弃话题控制、不区分主次话题,F3-C17,Qwen2.5-7B-Instruct,HSK1,5,INT,S2,选择显著话题,你喜欢吃什么食物呢？,转向学生个人喜好这一简单话题
F10,方法学:策略码互不排斥,F10-C11,Qwen2.5-7B-Instruct,HSK1,5,INT,S2,选择显著话题,你喜欢吃什么食物呢？,转向学生个人喜好这一简单话题
