dialogue_key,model,tier,source,turn,sub,sub_gloss,text,note
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-140917,Qwen2.5-7B-Instruct,HSK1,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你看过这个动画片没有？,紧接学生上一轮主动提出的“汉语故事或动画片”话题继续追问，属于顺着学生话题走的隐式放弃控制
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-140958,Qwen2.5-7B-Instruct,HSK1,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你可以告诉我怎么吃烤鸭吗？,跟随学生上一轮主动提出的“烤鸭”话题继续追问，属于顺着学生话题走
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-140958,Qwen2.5-7B-Instruct,HSK1,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),我们什么时候一起去吃烤鸭呢？,继续跟随学生提出的“烤鸭”话题
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-141730,Qwen2.5-7B-Instruct,HSK1,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),除了烤鸭，你还知道哪些好吃的食物？,跟随学生上一轮主动提到的“烤鸭”话题继续深入追问
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-141730,Qwen2.5-7B-Instruct,HSK1,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你知道怎么做的吗？,继续跟随学生提出的食物话题
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-141730,Qwen2.5-7B-Instruct,HSK1,claude_candidate,13,S1,放弃话题控制 (relinquish topic control),如果你想先说春节或中秋节，那也没问题！,在“节日”这一大话题范围内，真正给学生具体节日的自主选择空间；学生随后选了春节，老师后续各轮也确实一直跟随这一选择，属于真放弃而非伪放弃
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-141942,Qwen2.5-7B-Instruct,HSK1,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你觉得自己哪里觉得难呢？,紧接学生上一轮提出的“学习中文难不难”话题，顺着学生的疑问继续追问细节
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-141942,Qwen2.5-7B-Instruct,HSK1,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),是故事书、科普书还是其他类型的书？,给出具体的or-choice候选集合，学生随后确实在候选范围内做出选择（故事书和科普书），老师后续也跟随该选择，判定为真放弃而非伪放弃
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-141942,Qwen2.5-7B-Instruct,HSK1,claude_candidate,13,S1,放弃话题控制 (relinquish topic control),你喜欢哪本书？讲讲它的内容或者你喜欢的一段话吧。,继续跟随学生刚才选定的话题（故事书/科普书），让学生自主决定要讲哪一本书
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-142212,Qwen2.5-7B-Instruct,HSK1,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你还想知道其他节日吗？,把是否继续该话题及具体选哪个节日的决定权交给学生，学生随后确实自主选择了“中秋节”
Qwen--Qwen2.5-7B-Instruct|HSK1|20260303-142212,Qwen2.5-7B-Instruct,HSK1,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),你喜欢怎样学习中国的传统文化呢？可以通过看书、看电影或者听故事来学习。,给出具体的or-choice候选（看书/看电影/听故事），把学习方式的选择权交给学生
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-121636,Qwen2.5-7B-Instruct,HSK4,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),好的啊，我很乐意跟你一起讨论书籍和音乐！,学生在上一轮主动提出“周末约时间讨论”这一新方向，老师顺着学生提出的方向往下走，把话题决定权交给了学生。
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-122118,Qwen2.5-7B-Instruct,HSK4,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),最近我刚看过一本非常好看的科幻小说《三体》,针对学生上一轮明确表达的“科幻小说”偏好推荐相应内容，跟随学生话题
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-122118,Qwen2.5-7B-Instruct,HSK4,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你读完《三体》后，可以跟我分享一下你的感受,继续跟随由学生兴趣引出的书籍/电影话题
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-122118,Qwen2.5-7B-Instruct,HSK4,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),我们下次交流时，你先分享一下《三体》带给你的感受吧！,继续跟随并深化学生自己引出的《三体》话题
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-122321,Qwen2.5-7B-Instruct,HSK4,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),有想聊聊的事情吗？,开场轮次即明确把话题决定权交给学生（“有没有什么……想跟我分享的”），学生随后在下一轮提出“中文学习方法”这一话题，老师第3轮确实顺着该话题展开，S1成立。
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-122321,Qwen2.5-7B-Instruct,HSK4,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你还有什么其他的问题或困惑也可以告诉我，我们一起解决。,再次把下一话题的决定权交给学生，学生随后在下一轮提出“成语学习”和“是/不是语法”两个新问题，老师第5轮确实跟随这两个话题展开，S1成立。
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-124559,Qwen2.5-7B-Instruct,HSK4,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),你可以选择其中一个场景，用刚才学到的词汇和句型进行模拟对话。这样不仅能提高你的口语能力，还能帮助你更好地理解不同情景下的表达方式。如果你愿意，可以尝试再次练习另一个场景。,老师列出“旅游计划/职业规划/健康与饮食”三个场景供学生自由选择，下一轮学生确实选择了“旅游计划”并展开，S1成立。
Qwen--Qwen2.5-7B-Instruct|HSK4|20260417-125030,Qwen2.5-7B-Instruct,HSK4,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),你好！你想聊些什么？是想练习对话，还是有其他问题想要解决呢？,开场老师即给出“练习对话/其他问题”的选项，将话题决定权交给学生；下一轮学生确实选择了练习对话并具体提出问路、点餐等方向，S1成立。
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-131741,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你是否有兴趣尝试其中某一类别的书？或者你已经有了一些新的选择？我们可以一起讨论并决定接下来读些什么。,老师列出文学小说/心理学著作/历史文化书籍/哲学经典四大类供学生选择，下一轮学生确实综合挑选了《红楼梦》《少有人走的路》《中国古代史纲要》，S1成立。
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-135349,Qwen2.5-7B-Instruct,HSK7,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你对哪种类型更感兴趣呢？,给出书籍/电影两类候选，把接下来聊哪类的决定权交给学生；下一轮学生确实选择了科幻类并被老师采纳
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-135349,Qwen2.5-7B-Instruct,HSK7,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你还有其他想要了解的内容吗？,开放式邀请学生自定下一步想聊的内容；下一轮学生据此提出了提高汉语水平/预习步骤两个新问题，老师照此回应
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-135927,Qwen2.5-7B-Instruct,HSK7,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),有没有什么有趣的事情想和我分享的？,开场轮开放式邀请学生自选分享内容；学生随后自由谈及新单词、野餐、踢足球等自选话题
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-135927,Qwen2.5-7B-Instruct,HSK7,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你喜欢哪种类型的书？是小说、历史还是其他类型？,给出小说/历史/其他等候选类型的or-choice问题，把话题决定权交给学生；下一轮学生据此选择并展开回答
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-140519,Qwen2.5-7B-Instruct,HSK7,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),我们聊点什么好呢？比如你最近有没有看什么有趣的书或者电影？,开场轮开放式问题，给出书/电影作为示例但未强行代选；学生据此自选了书籍与电影话题
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-140519,Qwen2.5-7B-Instruct,HSK7,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你有时间再分享一部感兴趣的书籍或电影给我听听吗？,邀请学生自选并分享新的书籍或电影；下一轮学生确实主动推荐了《许三观卖血记》，老师随后跟进
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-140519,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),请问你是否有兴趣进行这样的模拟采访，还是你想先进一步谈谈这两本书的主题和情感？,还是-式or-choice问题；下一轮学生明确选择先讨论主题情感，老师照此跟进
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-140519,Qwen2.5-7B-Instruct,HSK7,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),"你还有什么问题或者需要补充的地方吗？

如果一切满意，那就让我们再次总结一下，巩固今天的收获。如果还有其他话题或者其他小说或电影想要讨论，随时告诉我！","以两个条件分句给出""总结""或""聊新话题""两条路径，把选择权交给学生；下一轮学生选择了做总结，老师随后跟进该总结"
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-140519,Qwen2.5-7B-Instruct,HSK7,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),现在，请你针对上述例子谈谈你的感受，或者我们可以继续探讨其他方面。,或者-式or-choice问题，给学生选择继续谈感受还是转向其他方面的权力
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-140519,Qwen2.5-7B-Instruct,HSK7,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),请分享你对这些具体场景的感受，或者选择一个方面进行探讨。比如，你可以谈谈你最喜欢的搞笑场景，并说明为什么这部分让你印象深刻。,"再次以或者-式给出选择，并辅以""比如""示例；下一轮学生据此选择继续深入讨论具体场景与人物性格"
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),有什么新鲜事可以和我分享吗？,开场轮开放式邀请，学生随后自选分享成语学习这一话题
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你学过的成语里哪个是你最喜欢的？为什么喜欢它？,"把""接下来聊哪个成语""的决定权交给学生；下一轮学生选择了""一箭双雕""并展开"
